"no","release_tag","content","heading","content_label","issue_link","commit_link","pr_link","content_from","milestone",,,,,,,,,
1,"v2.5.1","   SqlInitializationAutoConfiguration fails when there is a DataSource bean and no spring-jdbc or a ConnectionFactory bean and no spring-r2dbc ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26850)",,,,,,,,,,,,,
2,"v2.5.1","   MetricsRestTemplateCustomizer and LocalHostUriTemplateHandler cannot be used together when building a RestTemplate with RestTemplateBuilder ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26827)",,,,,,,,,,,,,
3,"v2.5.1","   CompositeHealth.getDetails does not serialize if MapperFeature.CAN_OVERRIDE_ACCESS_MODIFIERS is disabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26823)",,,,,,,,,,,,,
4,"v2.5.1","   ConnectionFactoryBuilder.derivefrom should be named derivedFrom to align with DataSourceBuilder ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26810)",,,,,,,,,,,,,
5,"v2.5.1","   Profile-specific property files are incorrectly ordered when both '.' and './config' folders are used in the same application ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26782)",,,,,,,,,,,,,
6,"v2.5.1","   A spring.config.import declared in an application-.properties file calls ConfigDataLocationResolver.resolveProfileSpecific ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26755)",,,,,,,,,,,,,
7,"v2.5.1","   A spring.config.import declared in an application.properties file also attempts to import profile-specific files ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26754)",,,,,,,,,,,,,
8,"v2.5.1","   Jar startup fails on JDK 11 with a SecurityManager enabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26744)",,,,,,,,,,,,,
9,"v2.5.1","   Possible divide by zero bugs when using RandomValuePropertySource ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26739)",,,,,,,,,,,,,
10,"v2.5.1","   Resolving properties with a target type can cause ConversionFailedException ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26732)",,,,,,,,,,,,,
11,"v2.5.1","   Upgrading to Spring Boot 2.5.0 leads to a startup warning from Jackson about Kotlin ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26727)",,,,,,,,,,,,,
12,"v2.5.1","   LoggingSystem should not return LogbackLoggingSystem if logback-classic is not available ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26725)",,,,,,,,,,,,,
13,"v2.5.1","   bootBuildImage runs forever when a custom image name is used and the version contains an illegal character ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26703)",,,,,,,,,,,,,
14,"v2.5.1","   Non-static nested `@Configuration` in JerseySameManagementContextConfiguration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26697)",,,,,,,,,,,,,
15,"v2.5.1","   Restore run order of `data.sql`/`schema.sql` against high-level database migration tools ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26692)",,,,,,,,,,,,,
16,"v2.5.1","   Gradle plugin does not provided public constant for the productionRuntimeClasspath configuration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26687)",,,,,,,,,,,,,
17,"v2.5.1","   Non-embedded databases have schema/data.sql scripts applied by default ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26682)",,,,,,,,,,,,,
18,"v2.5.1","   Custom username/password properties are not picked up by DataSourceInitializationConfiguration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26676)",,,,,,,,,,,,,
19,"v2.5.1","   No subdirectories found for mandatory directory location 'file:./config//' is thrown when config dir exists ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26672)",,,,,,,,,,,,,
20,"v2.5.1","   LoggingSystem not available on shutdown to log DisposableBean#destroy invocations ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26660)",,,,,,,,,,,,,
21,"v2.5.1","   Image Building with custom buildpacks fails with permission denied on Arch Linux ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26658)",,,,,,,,,,,,,
